Basketball Reference ID,Birthdate
smithjo02,7/26/1975
mcdyean01,9/7/1974
stackje01,11/5/1974
wallara01,9/17/1974
garneke01,5/19/1976
reevebr01,6/8/1973
stoudda01,9/3/1973
respesh01,2/6/1972
obanned01,8/14/1972
thomaku01,10/4/1972
trentga01,9/22/1974
parksch02,10/11/1972
willico02,12/4/1973
willier01,7/17/1972
iversal01,6/7/1975
cambyma01,3/22/1974
abdursh01,12/11/1976
marbust01,2/20/1977
allenra02,7/20/1975
walkean02,8/12/1976
wrighlo02,11/4/1975
kittlke01,6/12/1974
walkesa01,2/25/1976
dampier01,7/14/1975
fulleto02,7/25/1974
potapvi01,3/21/1975
bryanko01,8/23/1978
stojape01,6/9/1977
duncati01,4/25/1976
vanhoke01,10/23/1975
billuch01,9/25/1976
daniean01,3/19/1975
battito01,2/11/1976
mercero01,5/18/1976
thomati01,2/26/1977
foylead01,3/9/1975
mcgratr01,5/24/1979
fortsda01,3/27/1976
abdulta01,11/3/1974
croshau01,5/1/1975
anderde01,7/18/1974
tayloma01,10/30/1976
olowomi01,4/3/1975
bibbymi01,5/13/1978
lafrera01,5/29/1976
jamisan01,6/12/1976
cartevi01,1/26/1977
traylro01,2/1/1977
willija02,11/18/1975
hughela01,1/23/1979
nowitdi01,6/19/1978
piercpa01,10/13/1977
wellsbo01,9/28/1976
doleami01,6/15/1977
clarkke01,4/16/1975
dickemi01,6/25/1975
brandel01,3/11/1979
francst01,2/21/1977
davisba01,4/13/1979
odomla01,11/6/1979
bendejo01,1/30/1981
szczewa02,3/5/1977
hamilri01,2/14/1978
millean02,3/19/1976
mariosh01,5/7/1978
terryja01,9/15/1977
langdtr01,5/13/1976
radojal01,8/8/1976
maggeco01,11/12/1979
averywi01,8/8/1979
martike01,12/30/1977
swiftst01,11/21/1979
milesda01,10/9/1981
fizerma01,8/10/1978
millemi01,2/19/1980
johnsde03,5/5/1980
mihmch01,7/16/1979
crawfja01,3/20/1980
przybjo01,10/10/1979
doolike01,5/8/1980
moisoje01,6/15/1978
thomaet01,4/1/1978
alexaco02,4/27/1977
cleavma01,9/7/1977
brownkw01,3/10/1982
chandty01,10/2/1982
gasolpa01,7/6/1980
curryed01,12/5/1982
richaja01,1/20/1981
battish01,9/9/1978
griffed01,5/30/1982
diopde01,1/30/1982
whitero02,6/28/1980
johnsjo02,6/29/1981
brownke01,3/18/1981
radmavl01,11/19/1980
jefferi01,6/21/1980
murphtr01,5/2/1980
mingya01,9/12/1980
willija03,9/10/1981
dunlemi02,9/15/1980
goodedr01,9/24/1981
tskitni01,4/14/1983
wagneda02,2/4/1983
hilarne01,9/13/1982
wilcoch01,9/3/1982
stoudam01,11/16/1982
butleca01,3/13/1980
jeffrja01,11/25/1981
elyme01,5/2/1978
haislma01,12/22/1980
jonesfr01,3/11/1979
jamesle01,12/30/1984
milicda01,6/20/1985
anthoca01,5/29/1984
boshch01,3/24/1984
wadedw01,1/17/1982
kamanch01,4/28/1982
hinriki01,1/2/1981
fordtj01,3/24/1983
sweetmi01,10/25/1982
hayesja01,8/9/1981
pietrmi01,2/7/1982
collini01,10/26/1980
banksma01,11/19/1981
ridnolu01,2/13/1981
howardw01,12/8/1985
okafoem01,9/28/1982
gordobe01,4/4/1983
livinsh01,9/11/1985
harride01,2/27/1983
childjo01,6/20/1983
denglu01,4/16/1985
araujra01,8/12/1980
iguodan01,1/28/1984
jackslu02,11/6/1981
biedran01,4/2/1986
swiftro01,12/3/1985
telfase01,6/9/1985
humphkr01,2/6/1985
bogutan01,11/28/1984
willima02,6/19/1986
willide01,6/26/1984
paulch01,5/6/1985
feltora01,6/26/1984
webstma02,12/4/1986
villach01,8/24/1984
fryech01,5/17/1983
dioguik01,9/11/1983
bynuman01,10/27/1987
vazqufr01,5/1/1983
korolya01,5/7/1987
mayse01,4/4/1984
mccanra01,9/25/1984
bargnan01,10/26/1985
aldrila01,7/19/1985
morriad01,7/19/1984
thomaty01,8/17/1986
willish02,10/21/1983
roybr01,7/23/1984
foyera01,9/24/1983
gayru01,8/17/1986
obryapa01,6/20/1986
senesa01,5/12/1986
redicjj01,6/24/1984
armsthi01,11/11/1984
sefolth01,5/2/1984
brewero02,3/20/1985
odengr01,1/22/1988
duranke01,9/29/1988
horfoal01,6/3/1986
conlemi01,10/11/1987
greenje02,8/28/1986
jianlyi01,10/27/1987
breweco01,3/5/1986
wrighbr03,10/5/1987
noahjo01,2/25/1985
hawessp01,4/28/1988
lawac01,1/25/1985
youngth01,6/21/1988
wrighju01,5/20/1987
thornal01,12/7/1983
rosede01,10/4/1988
beaslmi01,1/9/1989
mayooj01,11/5/1987
westbru01,11/12/1988
loveke01,9/7/1988
gallida01,8/8/1988
gordoer01,12/25/1988
alexajo01,12/26/1986
augusdj01,11/10/1987
lopezbr01,4/1/1988
bayleje01,8/20/1988
thompja02,7/21/1986
rushbr01,7/7/1985
randoan01,7/15/1989
griffbl01,3/16/1989
thabeha01,2/16/1987
hardeja01,8/26/1989
evansty01,9/19/1989
rubiori01,10/21/1990
flynnjo01,2/6/1989
curryst01,3/14/1988
hilljo01,7/27/1987
derozde01,8/7/1989
jennibr01,9/23/1989
willite01,6/28/1987
hendege02,12/9/1987
hansbty01,11/3/1985
clarkea01,1/17/1988
walljo01,9/6/1990
turneev01,10/27/1988
favorde01,7/15/1991
johnswe01,7/11/1987
couside01,8/13/1990
udohek01,5/20/1987
monrogr01,6/4/1990
aminual01,9/21/1990
haywago01,3/23/1990
georgpa01,5/2/1990
aldrico01,10/31/1988
henryxa01,3/15/1991
davised01,6/5/1989
pattepa01,3/14/1989
irvinky01,3/23/1992
willide02,5/25/1991
kanteen01,5/20/1992
thomptr01,3/13/1991
valanjo01,5/6/1992
veselja01,4/24/1990
biyombi01,8/28/1992
knighbr03,12/2/1991
walkeke02,5/8/1990
fredeji01,2/25/1989
thompkl01,2/8/1990
burksal01,7/20/1991
morrima02,9/2/1989
morrima03,9/2/1989
davisan02,3/11/1993
kiddgmi01,9/26/1993
bealbr01,6/28/1993
waitedi01,12/10/1991
robinth01,3/17/1991
lillada01,7/15/1990
barneha02,5/30/1992
rosste01,2/5/1991
drumman01,8/10/1993
riverau01,8/1/1992
leoname01,2/27/1992
lambje01,5/30/1992
marshke01,8/19/1991
hensojo01,12/28/1990
bennean01,3/14/1993
oladivi01,5/4/1992
porteot01,6/3/1993
zelleco01,10/5/1992
lenal01,6/16/1993
noelne01,4/10/1994
mclembe01,2/11/1993
caldwke01,2/18/1993
burketr01,11/12/1992
mccolcj01,9/19/1991
cartemi01,10/10/1991
adamsst01,7/20/1993
olynyke01,4/19/1991
muhamsh01,11/13/1992
wiggian01,2/23/1995
parkeja01,3/15/1995
embiijo01,3/16/1994
gordoaa01,9/16/1995
exumda01,7/13/1995
smartma01,3/6/1994
randlju01,11/29/1994
stausni01,10/7/1993
vonleno01,8/24/1995
paytoel01,2/22/1994
mcderdo01,1/3/1992
saricda01,4/8/1994
lavinza01,3/10/1995
warretj01,9/5/1993
townska01,11/15/1995
russeda01,2/23/1996
okafoja01,12/15/1995
porzikr01,8/2/1995
hezonma01,2/25/1995
caulewi01,8/18/1993
mudiaem01,3/5/1996
johnsst04,5/29/1996
kaminfr01,4/4/1993
winslju01,3/26/1996
turnemy01,3/24/1996
lylestr01,11/5/1995
bookede01,10/30/1996
payneca01,8/8/1994
simmobe01,7/20/1996
ingrabr01,9/2/1997
brownja02,10/24/1996
bendedr01,11/17/1997
dunnkr01,3/18/1994
hieldbu01,12/17/1992
murraja01,2/23/1997
chrisma01,7/2/1997
poeltja01,10/15/1995
makerth01,2/25/1997
sabondo01,5/3/1996
princta02,3/22/1994
papagge01,7/3/1997
valende01,11/16/1993
fultzma01,5/29/1998
balllo01,10/27/1997
tatumja01,3/3/1998
jacksjo02,2/10/1997
foxde01,12/20/1997
isaacjo01,10/3/1997
markkla01,5/22/1997
ntilila01,7/28/1998
smithde03,11/25/1997
colliza01,11/19/1997
monkma01,2/4/1998
kennalu01,6/24/1996
mitchdo01,9/7/1996
adebaba01,7/18/1997
aytonde01,7/23/1998
baglema01,3/14/1999
doncilu01,2/28/1999
jacksja02,9/15/1999
youngtr01,9/19/1998
bambamo01,5/12/1998
cartewe01,4/16/1999
sextoco01,1/4/1999
knoxke01,8/11/1999
bridgmi01,8/30/1996
gilgesh01,7/12/1998
bridgmi02,3/21/1998
robinje01,2/22/1997
portemi01,6/29/1998
willizi01,7/6/2000
moranja01,8/10/1999
barrerj01,6/14/2000
huntede01,12/2/1997
garlada01,1/26/2000
culveja01,2/20/1999
whiteco01,2/16/2000
hayesja02,5/23/2000
hachiru01,2/8/1998
reddica01,9/1/1999
johnsca02,3/3/1996
washipj01,8/23/1998
herroty01,1/20/2000
langfro01,10/25/1999
edwaran01,8/5/2001
wisemja01,3/31/2001
ballla01,8/22/2001
willipa01,8/26/2001
okorois01,1/26/2001
okongon01,12/11/2000
hayeski01,7/27/2001
toppiob01,3/4/1998
avdijde01,1/3/2001
smithja04,3/16/2000
vassede01,8/23/2000
halibty01,2/29/2000
lewiski01,4/6/2001
nesmiaa01,10/16/1999
